road,identifier,extent,point,display_type,title,subtitle,delay_minutes,abnormalTrafficType,averageSpeed,startTimestamp,description,latitude,longitude,day_of_week,weekend_day
A15,undefined--vi-avl.2025-05-19_04-06-00-000.f_005.de0,"51.666856907110706,14.752072100728395,51.666492505327454,14.736612284790763","51.666856907110706,14.752072100728395",WARNING,A15 | Forst - Bademeusel,Breslau -> Cottbus,9,QUEUING_TRAFFIC,5.199999809265137,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 04:06 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 04:06 A15: Breslau -> Cottbus, zwischen Forst und AS Bademeusel  Stockender Verkehr Reisezeitverlust: 9 Minuten Durchschnittsgeschwindigkeit: 5 km/h",51.6668569071107,14.7520721007284,Mon,Weekday
A17,undefined--vi-avl.2025-05-19_04-49-30-000.f_008.de0,"50.78437790208079,13.896429561727688,50.794860365096284,13.885245294607627","50.78437790208079,13.896429561727688",WARNING,A17 | Breitenau-Schönwald - Am Heidenholz,Prag -> Dresden,23,STATIONARY_TRAFFIC,3.4000000953674316,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 04:49 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 04:49 A17: Prag -> Dresden, zwischen 0.2 km hinter Breitenau-Schönwald und 3.2 km vor Am Heidenholz  Im Stillstand Reisezeitverlust: 23 Minuten Durchschnittsgeschwindigkeit: 3 km/h",50.7843779020808,13.8964295617277,Mon,Weekday
A45,undefined--vi-avl.2025-05-19_06-07-00-000.f.de0,"51.26956141031766,7.601126368990344,51.263860400934774,7.60281269999918","51.26956141031766,7.601126368990344",WARNING,A45 | Kaltenborn - Lüdenscheid-Nord,Hagen -> Gießen,9,STATIONARY_TRAFFIC,4,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 06:07 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 06:07 A45: Hagen -> Gießen, zwischen 3.1 km hinter Kaltenborn und 0.8 km vor AS Lüdenscheid-Nord  Im Stillstand Reisezeitverlust: 9 Minuten Durchschnittsgeschwindigkeit: 4 km/h",51.2695614103177,7.60112636899034,Mon,Weekday
A40,undefined--vi-avl.2025-05-19_06-11-00-000.f_004.de0,"51.474542393787324,7.131127417059471,51.46032960780962,7.054552509316757","51.474542393787324,7.131127417059471",WARNING,A40 | Bochum-Wattenscheid - Essen-Ost,Dortmund -> Duisburg,6,SLOW_TRAFFIC,36.29999923706055,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 06:11 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 06:11 A40: Dortmund -> Duisburg, zwischen 0.7 km hinter AS Bochum-Wattenscheid und 1.2 km vor AD Essen-Ost  Langsamer Verkehr Reisezeitverlust: 6 Minuten Durchschnittsgeschwindigkeit: 36 km/h",51.4745423937873,7.13112741705947,Mon,Weekday
A8,undefined--vi-avl.2025-05-19_06-46-48-000.f.de0,"47.8089957371495,12.103803455250569,47.803552970810976,12.16325581110276","47.8089957371495,12.103803455250569",WARNING,A8 | Inntal - Rohrdorf,München -> Salzburg,12,STATIONARY_TRAFFIC,18,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 06:46 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 06:46 A8: München -> Salzburg, zwischen 0.5 km hinter AD Inntal und AS Rohrdorf  Im Stillstand Reisezeitverlust: 12 Minuten Durchschnittsgeschwindigkeit: 18 km/h",47.8089957371495,12.1038034552506,Mon,Weekday
A8,undefined--vi-avl.2025-05-19_06-46-48-000.f_004.de0,"47.796689184253594,12.214623734709809,47.80410221584399,12.160235040931347","47.796689184253594,12.214623734709809",WARNING,A8 | Achenmühle - Winkelbach,Salzburg -> München,13,STATIONARY_TRAFFIC,15.899999618530272,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 06:46 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 06:46 A8: Salzburg -> München, zwischen 0.8 km hinter Achenmühle und 1.7 km vor Winkelbach  Im Stillstand Reisezeitverlust: 13 Minuten Durchschnittsgeschwindigkeit: 15 km/h",47.7966891842536,12.2146237347098,Mon,Weekday
A113,undefined--vi-avl.2025-05-19_07-20-14-000.f_014.de0,"52.439902870933494,13.48522738896205,52.42186361456694,13.521843081282048","52.439902870933494,13.48522738896205",WARNING,A113 | Johannisthaler Chaussee - Rudower Höhe,Neukölln -> Schönefeld,13,STATIONARY_TRAFFIC,13,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 07:20 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 07:20 A113: Neukölln -> Schönefeld, zwischen 0.5 km hinter AS Johannisthaler Chaussee und 0.2 km vor Rudower Höhe  Im Stillstand Reisezeitverlust: 13 Minuten Durchschnittsgeschwindigkeit: 13 km/h",52.4399028709335,13.4852273889621,Mon,Weekday
A1,undefined--vi-avl.2025-05-19_08-20-49-000.f_033.de0,"51.02619833348868,6.946161505145128,51.00107540093625,6.900535999996291","51.02619833348868,6.946161505145128",WARNING,A1 | Leverkusener Brücke - Köln-Nord,Dortmund -> Euskirchen,6,QUEUING_TRAFFIC,29.399999618530273,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 08:20 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 08:20 A1: Dortmund -> Euskirchen, zwischen 1.3 km hinter Leverkusener Brücke und 0.8 km vor AK Köln-Nord  Stockender Verkehr Reisezeitverlust: 6 Minuten Durchschnittsgeschwindigkeit: 29 km/h",51.0261983334887,6.94616150514513,Mon,Weekday
A2,undefined--vi-avl.2025-05-19_08-21-34-000.f_004.de0,"52.33925984994917,10.374264353900717,52.33560939822689,10.28109714153499","52.33925984994917,10.374264353900717",WARNING,A2 | Braunschweig-Watenbüttel - Peine-Ost,Braunschweig -> Hannover,10,STATIONARY_TRAFFIC,28.600000381469727,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 08:21 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 08:21 A2: Braunschweig -> Hannover, zwischen 3.4 km hinter AS Braunschweig-Watenbüttel und 1.4 km vor AS Peine-Ost  Im Stillstand Reisezeitverlust: 10 Minuten Durchschnittsgeschwindigkeit: 28 km/h",52.3392598499492,10.3742643539007,Mon,Weekday
A1,undefined--vi-avl.2025-05-19_08-30-51-000.f_002.de0,"53.87388049617104,10.649569584387292,53.902920482812554,10.683677584836014","53.87388049617104,10.649569584387292",WARNING,A1 | Lübeck-Moisling - Bad Schwartau,Hamburg -> Fehmarn,12,STATIONARY_TRAFFIC,17,2025-05-19T00:00:00Z,"Beginn: 19.05.25 um 08:30 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 08:30 A1: Hamburg -> Fehmarn, zwischen 2.1 km hinter AS Lübeck-Moisling und 0.5 km vor AS Bad Schwartau  Im Stillstand Reisezeitverlust: 12 Minuten Durchschnittsgeschwindigkeit: 17 km/h",53.873880496171,10.6495695843873,Mon,Weekday
